0:0:0,13
0:0:45,10
0:1:30,27
0:2:15,20
0:3:0,21
0:3:45,28
0:4:30,17
0:5:15,26
0:6:0,25
0:6:45,19
0:7:30,29
0:8:15,20
0:9:0,21
0:9:45,31
0:10:30,17
0:11:15,35
0:12:0,11
0:12:45,17
0:13:30,11
0:14:15,27
0:15:0,46
0:15:45,22
0:16:30,24
0:17:15,21
0:18:0,22
0:18:45,20
0:19:30,28
0:20:15,33
0:21:0,16
0:21:45,31
0:22:30,17
0:23:15,17
0:24:0,25
0:24:45,59
0:25:30,21
0:26:15,26
0:27:0,12
0:27:45,25
0:28:30,26
0:29:15,14
0:30:0,16
0:30:45,35
0:31:30,36
0:32:15,24
0:33:0,15
0:33:45,26
0:34:30,10
0:35:15,39
0:36:0,14
0:36:45,41
0:37:30,17
0:38:15,17
0:39:0,14
0:39:45,12
0:40:30,23
0:41:15,24
0:42:0,27
0:42:45,17
0:43:30,12
0:44:15,26
0:45:0,15
0:45:45,8
0:46:30,24
0:47:15,17
0:48:0,32
0:48:45,14
0:49:30,30
0:50:15,19
0:51:0,14
0:51:45,22
0:52:30,25
0:53:15,14
0:54:0,55
0:54:45,15
0:55:30,43
0:56:15,99
0:57:0,33
0:57:45,39
0:58:30,18
0:59:15,54
1:0:0,160
1:0:45,48
1:1:30,13
1:2:15,19
1:3:0,46
1:3:45,16
1:4:30,14
1:5:15,15
1:6:0,21
1:6:45,8
1:7:30,17
1:8:15,14
1:9:0,21
1:9:45,9
1:10:30,34
1:11:15,19
1:12:0,36
1:12:45,23
1:13:30,19
1:14:15,15
1:15:0,9
1:15:45,24
1:16:30,32
1:17:15,11
1:18:0,12
1:18:45,6
1:19:30,31
1:20:15,9
1:21:0,13
1:21:45,22
1:22:30,15
1:23:15,25
1:24:0,28
1:24:45,14
1:25:30,14
1:26:15,19
1:27:0,14
1:27:45,13
1:28:30,8
1:29:15,28
1:30:0,17
1:30:45,5
1:31:30,13
1:32:15,27
1:33:0,18
1:33:45,31
1:34:30,44
1:35:15,13
1:36:0,13
1:36:45,17
1:37:30,12
1:38:15,63
1:39:0,25
1:39:45,15
1:40:30,25
1:41:15,15
1:42:0,25
1:42:45,20
1:43:30,8
1:44:15,23
1:45:0,18
1:45:45,49
1:46:30,8
1:47:15,6
1:48:0,20
1:48:45,32
1:49:30,18
1:50:15,37
1:51:0,51
1:51:45,20
1:52:30,49
1:53:15,9
1:54:0,11
1:54:45,41
1:55:30,24
1:56:15,10
1:57:0,15
1:57:45,6
1:58:30,42
1:59:15,57
2:0:0,9
2:0:45,8
2:1:30,32
2:2:15,25
2:3:0,26
2:3:45,26
2:4:30,31
2:5:15,11
2:6:0,26
2:6:45,70
2:7:30,36
2:8:15,68
2:9:0,16
2:9:45,80
2:10:30,94
2:11:15,20
2:12:0,60
2:12:45,28
2:13:30,51
2:14:15,54
2:15:0,31
2:15:45,15
2:16:30,40
2:17:15,17
2:18:0,32
2:18:45,18
2:19:30,25
2:20:15,30
2:21:0,12
2:21:45,14
2:22:30,12
2:23:15,7
2:24:0,5
2:24:45,7
2:25:30,8
2:26:15,11
2:27:0,28
2:27:45,7
2:28:30,33
2:29:15,25
2:30:0,9
2:30:45,15
2:31:30,73
2:32:15,19
2:33:0,18
2:33:45,19
2:34:30,23
2:35:15,25
2:36:0,72
2:36:45,76
2:37:30,23
2:38:15,19
2:39:0,40
2:39:45,17
2:40:30,9
2:41:15,49
2:42:0,18
2:42:45,45
2:43:30,10
2:44:15,26
2:45:0,47
2:45:45,6
2:46:30,18
2:47:15,25
2:48:0,19
2:48:45,7
2:49:30,34
2:50:15,10
2:51:0,52
2:51:45,15
2:52:30,25
2:53:15,35
2:54:0,10
2:54:45,5
2:55:30,22
2:56:15,8
2:57:0,41
2:57:45,4
2:58:30,5
2:59:15,3
3:0:0,6
3:0:45,21
3:1:30,12
3:2:15,13
3:3:0,66
3:3:45,19
3:4:30,39
3:5:15,82
3:6:0,34
3:6:45,32
3:7:30,32
3:8:15,54
3:9:0,56
3:9:45,10
3:10:30,28
3:11:15,38
3:12:0,16
3:12:45,20
3:13:30,31
3:14:15,62
3:15:0,43
3:15:45,45
3:16:30,24
3:17:15,29
3:18:0,71
3:18:45,79
3:19:30,12
3:20:15,53
3:21:0,33
3:21:45,53
3:22:30,17
3:23:15,28
3:24:0,42
3:24:45,35
3:25:30,11
3:26:15,56
3:27:0,41
3:27:45,59
3:28:30,51
3:29:15,38
3:30:0,17
3:30:45,21
3:31:30,12
3:32:15,38
3:33:0,60
3:33:45,18
3:34:30,35
3:35:15,60
3:36:0,23
3:36:45,22
3:37:30,41
3:38:15,27
3:39:0,11
3:39:45,199
3:40:30,68
3:41:15,26
3:42:0,102
3:42:45,44
3:43:30,16
3:44:15,84
3:45:0,79
3:45:45,18
3:46:30,23
3:47:15,23
3:48:0,57
3:48:45,44
3:49:30,30
3:50:15,47
3:51:0,44
3:51:45,36
3:52:30,11
3:53:15,9
3:54:0,13
3:54:45,45
3:55:30,35
3:56:15,72
3:57:0,25
3:57:45,19
3:58:30,65
3:59:15,73
4:0:0,16
4:0:45,25
4:1:30,17
4:2:15,21
4:3:0,0
4:3:45,15
4:4:30,150
4:5:15,22
4:6:0,15
4:6:45,16
4:7:30,23
4:8:15,13
4:9:0,22
4:9:45,82
4:10:30,31
4:11:15,7
4:12:0,5
4:12:45,28
4:13:30,147
4:14:15,283
4:15:0,30
4:15:45,22
4:16:30,55
4:17:15,24
4:18:0,23
4:18:45,6
4:19:30,72
4:20:15,101
4:21:0,18
4:21:45,17
4:22:30,19
4:23:15,38
4:24:0,64
4:24:45,24
4:25:30,16
4:26:15,63
4:27:0,43
4:27:45,30
4:28:30,33
4:29:15,16
4:30:0,65
4:30:45,38
4:31:30,23
4:32:15,9
4:33:0,138
4:33:45,22
4:34:30,67
4:35:15,23
4:36:0,91
4:36:45,67
4:37:30,51
4:38:15,16
4:39:0,9
4:39:45,76
4:40:30,33
4:41:15,13
4:42:0,24
4:42:45,80
4:43:30,17
4:44:15,49
4:45:0,20
4:45:45,104
4:46:30,22
4:47:15,17
4:48:0,89
4:48:45,20
4:49:30,52
4:50:15,51
4:51:0,22
4:51:45,26
4:52:30,224
4:53:15,82
4:54:0,41
4:54:45,40
4:55:30,15
4:56:15,38
4:57:0,345
4:57:45,290
4:58:30,200
4:59:15,241
5:0:0,105
5:0:45,79
5:1:30,65
5:2:15,97
5:3:0,64
5:3:45,29
5:4:30,35
5:5:15,75
5:6:0,35
5:6:45,20
5:7:30,20
5:8:15,38
5:9:0,39
5:9:45,34
5:10:30,13
5:11:15,51
5:12:0,23
5:12:45,30
5:13:30,159
5:14:15,108
5:15:0,79
5:15:45,63
5:16:30,33
5:17:15,24
5:18:0,67
5:18:45,80
5:19:30,22
5:20:15,40
5:21:0,19
5:21:45,26
5:22:30,25
5:23:15,7
5:24:0,9
5:24:45,10
5:25:30,8
5:26:15,44
5:27:0,29
5:27:45,26
5:28:30,40
5:29:15,13
5:30:0,20
5:30:45,41
5:31:30,22
5:32:15,21
5:33:0,58
5:33:45,20
5:34:30,11
5:35:15,7
5:36:0,13
5:36:45,34
5:37:30,37
5:38:15,13
5:39:0,15
5:39:45,75
5:40:30,45
5:41:15,17
5:42:0,67
5:42:45,35
5:43:30,45
5:44:15,67
5:45:0,21
5:45:45,16
5:46:30,23
5:47:15,14
5:48:0,66
5:48:45,3
5:49:30,54
5:50:15,27
5:51:0,71
5:51:45,36
5:52:30,8
5:53:15,4
5:54:0,8
5:54:45,2
5:55:30,21
5:56:15,2
5:57:0,50
5:57:45,49
5:58:30,39
5:59:15,48
6:0:0,34
6:0:45,15
6:1:30,4
6:2:15,15
6:3:0,5
6:3:45,18
6:4:30,12
6:5:15,5
6:6:0,49
6:6:45,13
6:7:30,24
6:8:15,18
6:9:0,15
6:9:45,8
6:10:30,30
6:11:15,8
6:12:0,14
6:12:45,30
6:13:30,29
6:14:15,10
6:15:0,21
6:15:45,8
6:16:30,5
6:17:15,34
6:18:0,4
6:18:45,10
6:19:30,7
6:20:15,51
6:21:0,24
6:21:45,23
6:22:30,54
6:23:15,13
6:24:0,15
6:24:45,41
6:25:30,4
6:26:15,5
6:27:0,5
6:27:45,124
